,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Action,Adventure,Comedy,Family,Crime,Thriller,Sport,Animation,Horror,Fantasy,Romance,Sci-Fi,Documentary,History,Music,Mystery,Drama,War,Biography,Musical,Profit
33,tt0448694,Puss in Boots,Puss in Boots,2011,90.0,"['Action', 'Adventure', 'Animation']",46,"Oct 28, 2011",Puss in Boots,130000000.0,149260504.0,554987477.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,424987477.0
34,tt0451279,Wonder Woman,Wonder Woman,2017,141.0,"['Action', 'Adventure', 'Fantasy']",55,"Jun 2, 2017",Wonder Woman,150000000.0,412563408.0,821133378.0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,671133378.0
35,tt4028068,Wonder Woman,Wonder Woman,2014,60.0,['Sci-Fi'],55,"Jun 2, 2017",Wonder Woman,150000000.0,412563408.0,821133378.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,671133378.0
36,tt4283448,Wonder Woman,Wonder Woman,2016,75.0,"['Documentary', 'Drama', 'Sport']",55,"Jun 2, 2017",Wonder Woman,150000000.0,412563408.0,821133378.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,671133378.0
37,tt0453562,42,42,2013,128.0,"['Biography', 'Drama', 'Sport']",22,"Apr 12, 2013",42,31000000.0,95020213.0,97470701.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,66470701.0
38,tt0454876,Life of Pi,Life of Pi,2012,127.0,"['Adventure', 'Drama', 'Fantasy']",88,"Nov 21, 2012",Life of Pi,120000000.0,124987022.0,620912003.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,500912003.0
39,tt0455407,The Crazies,The Crazies,2010,101.0,"['Horror', 'Thriller']",36,"Feb 26, 2010",The Crazies,19000000.0,39123589.0,56445534.0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,37445534.0
40,tt0455944,The Equalizer,The Equalizer,2014,132.0,"['Action', 'Crime', 'Thriller']",96,"Sep 26, 2014",The Equalizer,55000000.0,101530738.0,192903624.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,137903624.0
41,tt0458339,Captain America: The First Avenger,Captain America: The First Avenger,2011,124.0,"['Action', 'Adventure', 'Sci-Fi']",10,"Jul 22, 2011",Captain America: The First Avenger,140000000.0,176654505.0,370569776.0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,230569776.0
42,tt0458481,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,2014,102.0,"['Crime', 'Thriller']",16,"Aug 22, 2014",Sin City: A Dame to Kill For,65000000.0,13757804.0,40650842.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-24349158.0
43,tt0464054,House at the End of the Drive,House at the End of the Drive,2014,91.0,"['Horror', 'Thriller']",28,"Dec 31, 2014",House at the End of the Drive,1400000.0,0.0,0.0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-1400000.0
44,tt0464154,Piranha 3D,Piranha 3D,2010,88.0,"['Comedy', 'Horror']",52,"Aug 20, 2010",Piranha 3D,24000000.0,25003155.0,83660160.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,59660160.0
45,tt0466893,Margaret,Margaret,2011,150.0,['Drama'],27,"Sep 30, 2011",Margaret,14000000.0,47185.0,623292.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-13376708.0
46,tt0470752,Ex Machina,Ex Machina,2014,108.0,"['Drama', 'Mystery', 'Sci-Fi']",72,"Apr 10, 2015",Ex Machina,13000000.0,25440971.0,38358392.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,25358392.0
47,tt0471042,Tower Heist,Tower Heist,2011,104.0,"['Action', 'Comedy', 'Crime']",5,"Nov 4, 2011",Tower Heist,85000000.0,78046570.0,150422946.0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,65422946.0
48,tt0472181,The Smurfs,The Smurfs,2011,103.0,"['Adventure', 'Animation', 'Comedy']",20,"Jul 29, 2011",The Smurfs,110000000.0,142614158.0,563749323.0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,453749323.0
49,tt0472399,The Mechanic,The Mechanic,2011,93.0,"['Action', 'Crime', 'Thriller']",42,"Jan 28, 2011",The Mechanic,42500000.0,29121498.0,76347393.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33847393.0
