,movie_id,averagerating,numvotes,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Adventure,Comedy,Family,Crime,Thriller,Sport,Animation,Horror,Fantasy,Romance,Sci-Fi,Documentary,History,Music,Mystery,Drama,War,Biography,Musical,Action
661,tt3589450,6.5,798,Monster,Mon-seu-teo,2014,113.0,"Action,Drama,Thriller",69,"Dec 24, 2003",Monster,"$5,000,000","$34,469,210",64240813.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
662,tt3838992,4.3,10483,Yoga Hosers,Yoga Hosers,2016,88.0,"Action,Comedy,Fantasy",86,"Sep 2, 2016",Yoga Hosers,"$5,000,000",$0,22958.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
663,tt3949660,6.0,77234,Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,112.0,"Action,Adventure,Comedy",32,"Jun 3, 2016",Teenage Mutant Ninja Turtles: Out of the Shadows,"$135,000,000","$82,051,601",245328374.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
664,tt0482461,5.9,3846,Barry Munday,Barry Munday,2010,95.0,"Comedy,Drama,Romance",61,"Oct 1, 2010",Barry Munday,"$3,000,000",$0,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
665,tt0485985,5.9,31815,Red Tails,Red Tails,2012,125.0,"Action,Adventure,Drama",61,"Jan 20, 2012",Red Tails,"$58,000,000","$49,876,377",50365498.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
666,tt0491152,5.9,54314,Something Borrowed,Something Borrowed,2011,112.0,"Comedy,Drama,Romance",72,"May 6, 2011",Something Borrowed,"$35,000,000","$39,046,489",65084116.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
667,tt0804497,7.1,125583,It's Kind of a Funny Story,It's Kind of a Funny Story,2010,101.0,"Comedy,Drama,Romance",1,"Oct 8, 2010",It's Kind of a Funny Story,"$8,000,000","$6,363,628",6632950.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
668,tt0810922,6.3,48393,Take Me Home Tonight,Take Me Home Tonight,2011,97.0,"Comedy,Drama,Romance",48,"Mar 4, 2011",Take Me Home Tonight,"$19,000,000","$6,928,068",7576604.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
669,tt0815236,6.4,117245,She's Out of My League,She's Out of My League,2010,104.0,"Comedy,Romance",62,"Mar 12, 2010",She's Out of My League,"$20,000,000","$32,010,860",48680977.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
670,tt0954947,6.1,31727,The Killer Inside Me,The Killer Inside Me,2010,109.0,"Crime,Drama,Horror",11,"Jun 18, 2010",The Killer Inside Me,"$13,000,000","$217,277",3617277.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
671,tt1843866,7.8,666252,Captain America: The Winter Soldier,Captain America: The Winter Soldier,2014,136.0,"Action,Adventure,Sci-Fi",16,"Apr 4, 2014",Captain America: The Winter Soldier,"$170,000,000","$259,746,958",714401889.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
672,tt1862079,7.0,111907,Safety Not Guaranteed,Safety Not Guaranteed,2012,86.0,"Comedy,Drama,Romance",77,"Jun 8, 2012",Safety Not Guaranteed,"$750,000","$4,010,957",4422318.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
673,tt1878841,4.4,12435,The Darkness,The Darkness,2016,92.0,"Horror,Thriller",98,"May 13, 2016",The Darkness,"$4,000,000","$10,753,574",10898293.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
